

Measurement ID,6437,
Battery Name,LG M50,
Battery Type,
Circuit,MCCD_1260,
Program,166 - MSM_Rate_05C,
Start Time,8/26/2020 11:59:10 AM,
End Time,8/27/2020 7:57:00 AM,
Test section,TS006125,
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1]
5,PAU,0.013,0.109,0,0,MSM_Rate_05C,3.27303,0,0,0,0,0,0.2
5,PAU,120.037,120.133,0,0,MSM_Rate_05C,3.27314,0,0,0,0,0,0.2
5,PAU,240.108,240.204,0,0,MSM_Rate_05C,3.27314,0,0,0,0,0,0.2
5,PAU,360.089,360.185,0,0,MSM_Rate_05C,3.27314,0,0,0,0,0,0.2
5,PAU,480.047,480.143,0,0,MSM_Rate_05C,3.27325,0,0,0,0,0,0.2
5,PAU,600.038,600.134,0,0,MSM_Rate_05C,3.27325,0,0,0,0,0,0.2
5,PAU,720.07,720.166,0,0,MSM_Rate_05C,3.27325,0,0,0,0,0,0.2
5,PAU,840.078,840.174,0,0,MSM_Rate_05C,3.27325,0,0,0,0,0,0.2
5,PAU,960.041,960.137,0,0,MSM_Rate_05C,3.27325,0,0,0,0,0,0.2
5,PAU,1080.182,1080.278,0,0,MSM_Rate_05C,3.27325,0,0,0,0,0,0.2
5,PAU,1200.035,1200.131,0,0,MSM_Rate_05C,3.27325,0,0,0,0,0,0.2
5,PAU,1320.069,1320.165,0,0,MSM_Rate_05C,3.27336,0,0,0,0,0,0.2
5,PAU,1440.052,1440.148,0,0,MSM_Rate_05C,3.27336,0,0,0,0,0,0.2
5,PAU,1560.038,1560.134,0,0,MSM_Rate_05C,3.27336,0,0,0,0,0,0.2
5,PAU,1680.15,1680.246,0,0,MSM_Rate_05C,3.27336,0,0,0,0,0,0.2
5,PAU,1800.036,1800.132,0,0,MSM_Rate_05C,3.27336,0,0,0,0,0,0.2
5,PAU,1920.038,1920.134,0,0,MSM_Rate_05C,3.27347,0,0,0,0,0,0.2
5,PAU,2040.028,2040.124,0,0,MSM_Rate_05C,3.27347,0,0,0,0,0,0.2
5,PAU,2160.032,2160.128,0,0,MSM_Rate_05C,3.27347,0,0,0,0,0,0.2
5,PAU,2280.055,2280.151,0,0,MSM_Rate_05C,3.27347,0,0,0,0,0,0.2
5,PAU,2400.085,2400.181,0,0,MSM_Rate_05C,3.27347,0,0,0,0,0,0.2
5,PAU,2520.033,2520.129,0,0,MSM_Rate_05C,3.27347,0,0,0,0,0,0.2
5,PAU,2640.106,2640.202,0,0,MSM_Rate_05C,3.27347,0,0,0,0,0,0.2
5,PAU,2760.132,2760.228,0,0,MSM_Rate_05C,3.27358,0,0,0,0,0,0.2
5,PAU,2880.102,2880.198,0,0,MSM_Rate_05C,3.27358,0,0,0,0,0,0.2
5,PAU,3000.026,3000.122,0,0,MSM_Rate_05C,3.27358,0,0,0,0,0,0.2
5,PAU,3120.066,3120.162,0,0,MSM_Rate_05C,3.27358,0,0,0,0,0,0.2
5,PAU,3240.034,3240.13,0,0,MSM_Rate_05C,3.27358,0,0,0,0,0,0.2
5,PAU,3360.02,3360.116,0,0,MSM_Rate_05C,3.27358,0,0,0,0,0,0.2
5,PAU,3480.023,3480.119,0,0,MSM_Rate_05C,3.2737,0,0,0,0,0,0.2
5,PAU,3600.12,3600.216,0,0,MSM_Rate_05C,3.2737,0,0,0,0,0,0.2
5,PAU,3720.124,3720.22,0,0,MSM_Rate_05C,3.2737,0,0,0,0,0,0.2
5,PAU,3840.118,3840.214,0,0,MSM_Rate_05C,3.2737,0,0,0,0,0,0.2
5,PAU,3960.022,3960.118,0,0,MSM_Rate_05C,3.2737,0,0,0,0,0,0.2
5,PAU,4080.016,4080.112,0,0,MSM_Rate_05C,3.27381,0,0,0,0,0,0.2
5,PAU,4200.151,4200.247,0,0,MSM_Rate_05C,3.27381,0,0,0,0,0,0.2
5,PAU,4320.095,4320.191,0,0,MSM_Rate_05C,3.27381,0,0,0,0,0,0.2
5,PAU,4440.115,4440.211,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,4560.129,4560.225,0,0,MSM_Rate_05C,3.27381,0,0,0,0,0,0.2
5,PAU,4680.115,4680.211,0,0,MSM_Rate_05C,3.27381,0,0,0,0,0,0.2
5,PAU,4800.18,4800.276,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,4920.071,4920.167,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,5040.161,5040.257,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,5160.104,5160.2,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,5280.077,5280.173,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,5400.093,5400.189,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,5520.012,5520.108,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,5640.034,5640.13,0,0,MSM_Rate_05C,3.27403,0,0,0,0,0,0.2
5,PAU,5760.036,5760.132,0,0,MSM_Rate_05C,3.27392,0,0,0,0,0,0.2
5,PAU,5880.027,5880.123,0,0,MSM_Rate_05C,3.27403,0,0,0,0,0,0.2
5,PAU,6000.023,6000.119,0,0,MSM_Rate_05C,3.27403,0,0,0,0,0,0.2
5,PAU,6120.114,6120.21,0,0,MSM_Rate_05C,3.27403,0,0,0,0,0,0.2
5,PAU,6240.064,6240.16,0,0,MSM_Rate_05C,3.27403,0,0,0,0,0,0.2
5,PAU,6360.123,6360.219,0,0,MSM_Rate_05C,3.27403,0,0,0,0,0,0.2
5,PAU,6480.036,6480.132,0,0,MSM_Rate_05C,3.27403,0,0,0,0,0,0.2
5,PAU,6600.038,6600.134,0,0,MSM_Rate_05C,3.27414,0,0,0,0,0,0.2
5,PAU,6720.023,6720.119,0,0,MSM_Rate_05C,3.27414,0,0,0,0,0,0.2
5,PAU,6840.077,6840.173,0,0,MSM_Rate_05C,3.27414,0,0,0,0,0,0.2
5,PAU,6960.068,6960.164,0,0,MSM_Rate_05C,3.27414,0,0,0,0,0,0.2
5,PAU,7080.062,7080.158,0,0,MSM_Rate_05C,3.27414,0,0,0,0,0,0.2
5,PAU,7200.053,7200.149,0,0,MSM_Rate_05C,3.27414,0,0,0,0,0,0.2
5,PAU,7200.053,7200.149,0,0,MSM_Rate_05C,3.27414,0,0,0,0,0,0.2
8,RANGE,0,7200.177,1,1,MSM_Rate_05C,3.27425,0,0,0,0,0,0.2
8,RANGE,0,7200.177,1,1,MSM_Rate_05C,3.27425,0,0,0,0,0,0.2
9,CHA,0,7200.178,1,1,MSM_Rate_05C,3.39916,1.66433,0,0,0,0,0.2
9,CHA,0.283,7200.461,1,1,MSM_Rate_05C,3.41195,1.66612,0.00007,0,0.00024,5.68473,0.2
9,CHA,0.338,7200.516,1,1,MSM_Rate_05C,3.42919,1.66828,0.00019,0,0.00065,5.68473,0.2
9,CHA,0.652,7200.83,1,1,MSM_Rate_05C,3.43998,1.66936,0.00031,0,0.00106,5.74255,0.2
9,CHA,1.649,7201.827,1,1,MSM_Rate_05C,3.44999,1.66972,0.00077,0,0.00266,5.7605,0.2
9,CHA,6.419,7206.597,1,1,MSM_Rate_05C,3.46,1.66972,0.00292,0,0.01007,5.77721,0.2
9,CHA,13.93,7214.108,1,1,MSM_Rate_05C,3.47001,1.67008,0.00644,0,0.02227,5.79517,0.2
9,CHA,22.985,7223.163,1,1,MSM_Rate_05C,3.48002,1.66972,0.01064,0,0.03688,5.81064,0.2
9,CHA,33.105,7233.283,1,1,MSM_Rate_05C,3.49003,1.66972,0.01539,0,0.05342,5.82842,0.2
9,CHA,44.395,7244.573,1,1,MSM_Rate_05C,3.50004,1.66972,0.02061,0,0.07166,5.84388,0.2
9,CHA,57.43,7257.608,1,1,MSM_Rate_05C,3.51016,1.66972,0.02662,0,0.09274,5.86097,0.2
9,CHA,60.022,7260.2,1,1,MSM_Rate_05C,3.51194,1.67008,0.02782,0,0.09696,5.8652,0.2
9,CHA,72.05,7272.228,1,1,MSM_Rate_05C,3.52017,1.66972,0.03345,0,0.11675,5.8775,0.3
9,CHA,88.519,7288.697,1,1,MSM_Rate_05C,3.53018,1.67008,0.04101,0,0.14338,5.89567,0.3
9,CHA,106.993,7307.171,1,1,MSM_Rate_05C,3.54019,1.67008,0.04957,0,0.17365,5.91238,0.3
9,CHA,120.054,7320.232,1,1,MSM_Rate_05C,3.54631,1.66972,0.05565,0,0.19521,5.92133,0.3
9,CHA,129.267,7329.445,1,1,MSM_Rate_05C,3.5502,1.66972,0.05997,0,0.21052,5.92764,0.4
9,CHA,160.104,7360.282,1,1,MSM_Rate_05C,3.56021,1.67008,0.07427,0,0.26136,5.94582,0.4
9,CHA,179.993,7380.171,1,1,MSM_Rate_05C,3.56455,1.67008,0.08352,0,0.29434,5.95178,0.4
9,CHA,222.332,7422.51,1,1,MSM_Rate_05C,3.57022,1.66972,0.10314,0,0.36434,5.96235,0.5
9,CHA,240.056,7440.234,1,1,MSM_Rate_05C,3.57145,1.66972,0.11137,0,0.39373,5.9633,0.6
9,CHA,300.051,7500.229,1,1,MSM_Rate_05C,3.57445,1.67008,0.13914,0,0.49295,5.9696,0.7
9,CHA,359.998,7560.176,1,1,MSM_Rate_05C,3.57734,1.66972,0.167,0,0.59258,5.97333,0.9
9,CHA,409.493,7609.671,1,1,MSM_Rate_05C,3.58023,1.67008,0.1899,0,0.67452,5.97926,1
9,CHA,420.166,7620.344,1,1,MSM_Rate_05C,3.58079,1.66972,0.19487,0,0.69233,5.98019,1
