

Measurement ID,6333
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1250
Program,189 - MSM_Rate_C10
Start Time,24/08/2020 10:54:16
End Time,26/08/2020 09:42:26
Test section,TS006026
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTempPositive,LogTempMid,LogTempNegative,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],[T1],[T1],[T1],
5,PAU,0.014,0.109,0,0,MSM_Rate_C10,3.03581,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,9.60000,
5,PAU,120.072,120.167,0,0,MSM_Rate_C10,3.03603,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,9.60000,
5,PAU,240.166,240.261,0,0,MSM_Rate_C10,3.03603,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.40000,9.50000,
5,PAU,360.139,360.234,0,0,MSM_Rate_C10,3.03614,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.40000,9.50000,
5,PAU,480.182,480.277,0,0,MSM_Rate_C10,3.03614,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.40000,9.50000,
5,PAU,600.007,600.102,0,0,MSM_Rate_C10,3.03625,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.40000,9.50000,
5,PAU,720.064,720.159,0,0,MSM_Rate_C10,3.03625,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.40000,9.50000,
5,PAU,840.027,840.122,0,0,MSM_Rate_C10,3.03637,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.40000,9.50000,
5,PAU,960.053,960.148,0,0,MSM_Rate_C10,3.03637,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.30000,9.50000,
5,PAU,1080.109,1080.204,0,0,MSM_Rate_C10,3.03648,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.30000,9.50000,
5,PAU,1200.142,1200.237,0,0,MSM_Rate_C10,3.03648,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.40000,9.30000,9.50000,
5,PAU,1320.117,1320.212,0,0,MSM_Rate_C10,3.03648,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.50000,
5,PAU,1440.115,1440.210,0,0,MSM_Rate_C10,3.03659,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,1560.153,1560.248,0,0,MSM_Rate_C10,3.03670,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,1680.083,1680.178,0,0,MSM_Rate_C10,3.03670,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,1800.028,1800.123,0,0,MSM_Rate_C10,3.03670,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,1920.045,1920.140,0,0,MSM_Rate_C10,3.03681,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,2040.026,2040.121,0,0,MSM_Rate_C10,3.03681,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,2160.047,2160.142,0,0,MSM_Rate_C10,3.03681,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,2280.046,2280.141,0,0,MSM_Rate_C10,3.03692,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,2400.025,2400.120,0,0,MSM_Rate_C10,3.03692,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,2520.025,2520.120,0,0,MSM_Rate_C10,3.03703,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,2640.064,2640.159,0,0,MSM_Rate_C10,3.03703,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.50000,
5,PAU,2760.060,2760.155,0,0,MSM_Rate_C10,3.03714,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,2880.064,2880.159,0,0,MSM_Rate_C10,3.03714,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,3000.116,3000.211,0,0,MSM_Rate_C10,3.03726,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,3120.076,3120.171,0,0,MSM_Rate_C10,3.03726,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,3240.084,3240.179,0,0,MSM_Rate_C10,3.03737,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,3360.100,3360.195,0,0,MSM_Rate_C10,3.03737,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,3480.028,3480.123,0,0,MSM_Rate_C10,3.03748,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,3600.026,3600.121,0,0,MSM_Rate_C10,3.03748,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,3720.179,3720.274,0,0,MSM_Rate_C10,3.03748,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,3840.060,3840.155,0,0,MSM_Rate_C10,3.03759,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,3960.052,3960.147,0,0,MSM_Rate_C10,3.03759,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,4080.040,4080.135,0,0,MSM_Rate_C10,3.03759,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,4200.064,4200.159,0,0,MSM_Rate_C10,3.03770,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,4320.027,4320.122,0,0,MSM_Rate_C10,3.03770,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,4440.064,4440.159,0,0,MSM_Rate_C10,3.03781,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,4560.065,4560.160,0,0,MSM_Rate_C10,3.03781,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,4680.050,4680.145,0,0,MSM_Rate_C10,3.03792,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,4800.031,4800.126,0,0,MSM_Rate_C10,3.03792,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,4920.036,4920.131,0,0,MSM_Rate_C10,3.03792,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,5040.050,5040.145,0,0,MSM_Rate_C10,3.03803,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,5160.083,5160.178,0,0,MSM_Rate_C10,3.03803,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,5280.094,5280.189,0,0,MSM_Rate_C10,3.03815,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,5400.062,5400.157,0,0,MSM_Rate_C10,3.03815,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,5520.029,5520.124,0,0,MSM_Rate_C10,3.03815,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,5640.055,5640.150,0,0,MSM_Rate_C10,3.03826,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
5,PAU,5760.101,5760.196,0,0,MSM_Rate_C10,3.03826,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,5880.140,5880.235,0,0,MSM_Rate_C10,3.03837,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,6000.045,6000.140,0,0,MSM_Rate_C10,3.03837,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,6120.029,6120.124,0,0,MSM_Rate_C10,3.03837,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.30000,9.30000,9.60000,
5,PAU,6240.035,6240.130,0,0,MSM_Rate_C10,3.03848,0.00000,0.00000,0.00000,0.00000,0.00000,9.20000,9.30000,9.30000,9.60000,
