

Measurement ID,6315
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1258
Program,166 - MSM_Rate_05C
Start Time,8/20/2020 11:14:47 AM
End Time,8/21/2020 4:22:49 AM
Test section,TS006008
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
5,PAU,0.022,0.267,0,0,MSM_Rate_05C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,120.080,120.325,0,0,MSM_Rate_05C,4.14358,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,240.132,240.377,0,0,MSM_Rate_05C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,360.099,360.344,0,0,MSM_Rate_05C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,480.102,480.347,0,0,MSM_Rate_05C,4.14358,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,600.210,600.455,0,0,MSM_Rate_05C,4.14358,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,720.134,720.379,0,0,MSM_Rate_05C,4.14358,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,840.176,840.421,0,0,MSM_Rate_05C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,960.099,960.344,0,0,MSM_Rate_05C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1080.127,1080.372,0,0,MSM_Rate_05C,4.14358,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1200.108,1200.353,0,0,MSM_Rate_05C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1320.147,1320.392,0,0,MSM_Rate_05C,4.14358,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1440.096,1440.341,0,0,MSM_Rate_05C,4.14358,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
