+-------------------------------+-------------------------------------------------------------------------------------------------------------------+
|            Package            |                                                      License                                                      |
+-------------------------------+-------------------------------------------------------------------------------------------------------------------+
|           about-time          |                                                        MIT                                                        |
|           alabaster           |                                                 License not found                                                 |
|         alive-progress        |                                                        MIT                                                        |
|            anytree            |                                                     Apache-2.0                                                    |
|            appnope            |                                                        BSD                                                        |
|          argcomplete          |                                              Apache Software License                                              |
|           asttokens           |                                                     Apache 2.0                                                    |
|            autograd           |                                                        MIT                                                        |
|             Babel             |                                                    BSD-3-Clause                                                   |
|             black             |                                                        MIT                                                        |
|              bpx              |                                                 License not found                                                 |
|             build             |                                                 License not found                                                 |
|             casadi            |                              GNU Lesser General Public License v3 or later (LGPLv3+)                              |
|            certifi            |                                                      MPL-2.0                                                      |
|       charset-normalizer      |                                                        MIT                                                        |
|             click             |                                                    BSD-3-Clause                                                   |
|              cma              |                                                        BSD                                                        |
|             cmake             |                                                     Apache 2.0                                                    |
|            colorlog           |                                                    MIT License                                                    |
|              comm             |                         BSD 3-Clause License: Multi-line license found, first line shown.                         |
|           contourpy           |                         BSD 3-Clause License: Multi-line license found, first line shown.                         |
|            coverage           |                                                     Apache-2.0                                                    |
|             cycler            |                Copyright (c) 2015, matplotlib project: Multi-line license found, first line shown.                |
|            debugpy            |                                                        MIT                                                        |
|           decorator           |                                                  new BSD License                                                  |
|           Deprecated          |                                                        MIT                                                        |
|              dill             |                                                    BSD-3-Clause                                                   |
|            distlib            |                                                      PSF-2.0                                                      |
|            docutils           |                            public domain, Python, 2-Clause BSD, GPL 3 (see COPYING.txt)                           |
|           executing           |                                                        MIT                                                        |
|            filelock           |                                                 License not found                                                 |
|             flake8            |                                                        MIT                                                        |
|           fonttools           |                                                        MIT                                                        |
|             future            |                                                        MIT                                                        |
|            grapheme           |                                                        MIT                                                        |
|      guzzle-sphinx-theme      |                                                 License not found                                                 |
|              idna             |                                                 License not found                                                 |
|            imageio            |                                                    BSD-2-Clause                                                   |
|           imagesize           |                                                        MIT                                                        |
|       importlib-metadata      |                                                 License not found                                                 |
|           ipykernel           |                         BSD 3-Clause License: Multi-line license found, first line shown.                         |
|            ipython            |                                                    BSD-3-Clause                                                   |
|           ipywidgets          |                                                BSD 3-Clause License                                               |
|         jaraco.classes        |                                                 License not found                                                 |
|              jedi             |                                                        MIT                                                        |
|             Jinja2            |                                                    BSD-3-Clause                                                   |
|         jupyter_client        |                         BSD 3-Clause License: Multi-line license found, first line shown.                         |
|          jupyter_core         |                         BSD 3-Clause License: Multi-line license found, first line shown.                         |
|       jupyterlab-widgets      |                                                    BSD-3-Clause                                                   |
|            keyring            |                                                 License not found                                                 |
|           kiwisolver          |                       =========================: Multi-line license found, first line shown.                      |
|           latexcodec          |                                                        MIT                                                        |
|         markdown-it-py        |                                                 License not found                                                 |
|           MarkupSafe          |                                                    BSD-3-Clause                                                   |
|           matplotlib          |                                                        PSF                                                        |
|       matplotlib-inline       |                                                    BSD 3-Clause                                                   |
|             mccabe            |                                                   Expat license                                                   |
|             mdurl             |                                                 License not found                                                 |
|         more-itertools        |                                                 License not found                                                 |
|             mpmath            |                                                        BSD                                                        |
|        mypy-extensions        |                                                    MIT License                                                    |
|          nest-asyncio         |                                                        BSD                                                        |
