

Measurement ID,6433,
Battery Name,LG M50,
Battery Type,
Circuit,MCCD_1254,
Program,189 - MSM_Rate_C10,
Start Time,8/26/2020 11:57:45 AM,
End Time,8/27/2020 10:27:44 PM,
Test section,TS006121,
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1]
5,PAU,0.049,0.275,0,0,MSM_Rate_C10,3.1305,0,0,0,0,0,-0.5
5,PAU,120.093,120.319,0,0,MSM_Rate_C10,3.13061,0,0,0,0,0,-0.5
5,PAU,240.185,240.411,0,0,MSM_Rate_C10,3.13072,0,0,0,0,0,-0.5
5,PAU,360.12,360.346,0,0,MSM_Rate_C10,3.13083,0,0,0,0,0,-0.5
5,PAU,480.087,480.313,0,0,MSM_Rate_C10,3.13083,0,0,0,0,0,-0.5
5,PAU,600.154,600.38,0,0,MSM_Rate_C10,3.13083,0,0,0,0,0,-0.5
5,PAU,720.079,720.305,0,0,MSM_Rate_C10,3.13094,0,0,0,0,0,-0.5
5,PAU,840.133,840.359,0,0,MSM_Rate_C10,3.13094,0,0,0,0,0,-0.5
5,PAU,960.103,960.329,0,0,MSM_Rate_C10,3.13105,0,0,0,0,0,-0.5
5,PAU,1080.07,1080.296,0,0,MSM_Rate_C10,3.13105,0,0,0,0,0,-0.5
5,PAU,1200.193,1200.419,0,0,MSM_Rate_C10,3.13105,0,0,0,0,0,-0.5
5,PAU,1320.143,1320.369,0,0,MSM_Rate_C10,3.13117,0,0,0,0,0,-0.5
5,PAU,1440.078,1440.304,0,0,MSM_Rate_C10,3.13117,0,0,0,0,0,-0.5
5,PAU,1560.231,1560.457,0,0,MSM_Rate_C10,3.13117,0,0,0,0,0,-0.5
5,PAU,1680.047,1680.273,0,0,MSM_Rate_C10,3.13128,0,0,0,0,0,-0.5
5,PAU,1800.092,1800.318,0,0,MSM_Rate_C10,3.13139,0,0,0,0,0,-0.5
5,PAU,1920.046,1920.272,0,0,MSM_Rate_C10,3.13139,0,0,0,0,0,-0.5
5,PAU,2040.123,2040.349,0,0,MSM_Rate_C10,3.13139,0,0,0,0,0,-0.5
5,PAU,2160.194,2160.42,0,0,MSM_Rate_C10,3.1315,0,0,0,0,0,-0.5
5,PAU,2280.148,2280.374,0,0,MSM_Rate_C10,3.1315,0,0,0,0,0,-0.5
5,PAU,2400.094,2400.32,0,0,MSM_Rate_C10,3.1315,0,0,0,0,0,-0.5
5,PAU,2520.126,2520.352,0,0,MSM_Rate_C10,3.13161,0,0,0,0,0,-0.5
5,PAU,2640.096,2640.322,0,0,MSM_Rate_C10,3.13161,0,0,0,0,0,-0.5
5,PAU,2760.099,2760.325,0,0,MSM_Rate_C10,3.13161,0,0,0,0,0,-0.5
5,PAU,2880.101,2880.327,0,0,MSM_Rate_C10,3.13172,0,0,0,0,0,-0.5
5,PAU,3000.108,3000.334,0,0,MSM_Rate_C10,3.13172,0,0,0,0,0,-0.5
5,PAU,3120.092,3120.318,0,0,MSM_Rate_C10,3.13183,0,0,0,0,0,-0.5
