

Measurement ID,6337
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1256
Program,166 - MSM_Rate_05C
Start Time,24/08/2020 10:55:22
End Time,25/08/2020 06:59:51
Test section,TS006030
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTempPositive,LogTempMid,LogTempNegative,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],[T1],[T1],
5,PAU,0.010,0.235,0,0,MSM_Rate_05C,3.16511,0.00000,0.00000,0.00000,0.00000,0.00000,9.40000,9.50000,9.60000,
5,PAU,120.088,120.313,0,0,MSM_Rate_05C,3.16522,0.00000,0.00000,0.00000,0.00000,0.00000,9.40000,9.50000,9.50000,
5,PAU,240.137,240.362,0,0,MSM_Rate_05C,3.16533,0.00000,0.00000,0.00000,0.00000,0.00000,9.40000,9.50000,9.50000,
5,PAU,360.036,360.261,0,0,MSM_Rate_05C,3.16533,0.00000,0.00000,0.00000,0.00000,0.00000,9.40000,9.50000,9.50000,
5,PAU,480.045,480.270,0,0,MSM_Rate_05C,3.16533,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,600.049,600.274,0,0,MSM_Rate_05C,3.16533,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,720.028,720.253,0,0,MSM_Rate_05C,3.16544,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,840.060,840.285,0,0,MSM_Rate_05C,3.16544,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,960.069,960.294,0,0,MSM_Rate_05C,3.16555,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,1080.036,1080.261,0,0,MSM_Rate_05C,3.16555,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,1200.051,1200.276,0,0,MSM_Rate_05C,3.16555,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,1320.120,1320.345,0,0,MSM_Rate_05C,3.16555,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,1440.066,1440.291,0,0,MSM_Rate_05C,3.16555,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,1560.100,1560.325,0,0,MSM_Rate_05C,3.16555,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,1680.081,1680.306,0,0,MSM_Rate_05C,3.16566,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,1800.188,1800.413,0,0,MSM_Rate_05C,3.16566,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,1920.027,1920.252,0,0,MSM_Rate_05C,3.16566,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,2040.082,2040.307,0,0,MSM_Rate_05C,3.16577,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,2160.054,2160.279,0,0,MSM_Rate_05C,3.16577,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,2280.088,2280.313,0,0,MSM_Rate_05C,3.16577,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,2400.045,2400.270,0,0,MSM_Rate_05C,3.16577,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,2520.087,2520.312,0,0,MSM_Rate_05C,3.16577,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,2640.026,2640.251,0,0,MSM_Rate_05C,3.16588,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,2760.050,2760.275,0,0,MSM_Rate_05C,3.16588,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,2880.086,2880.311,0,0,MSM_Rate_05C,3.16588,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,3000.077,3000.302,0,0,MSM_Rate_05C,3.16588,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,3120.179,3120.404,0,0,MSM_Rate_05C,3.16600,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,3240.077,3240.302,0,0,MSM_Rate_05C,3.16600,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,3360.121,3360.346,0,0,MSM_Rate_05C,3.16600,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
5,PAU,3480.086,3480.311,0,0,MSM_Rate_05C,3.16611,0.00000,0.00000,0.00000,0.00000,0.00000,9.30000,9.50000,9.50000,
