

Measurement ID,6338,
Battery Name,LG M50,
Battery Type,
Circuit,MCCD_1258,
Program,166 - MSM_Rate_05C,
Start Time,24/08/2020 10:55,
End Time,25/08/2020 07:01,
Test section,TS006031,
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1]
5,PAU,0.028,0.219,0,0,MSM_Rate_05C,3.17373,0,0,0,0,0,9.8
5,PAU,120.11,120.301,0,0,MSM_Rate_05C,3.17373,0,0,0,0,0,9.8
5,PAU,240.111,240.302,0,0,MSM_Rate_05C,3.17385,0,0,0,0,0,9.8
5,PAU,360.106,360.297,0,0,MSM_Rate_05C,3.17385,0,0,0,0,0,9.7
5,PAU,480.108,480.299,0,0,MSM_Rate_05C,3.17385,0,0,0,0,0,9.7
5,PAU,600.111,600.302,0,0,MSM_Rate_05C,3.17385,0,0,0,0,0,9.7
5,PAU,720.062,720.253,0,0,MSM_Rate_05C,3.17396,0,0,0,0,0,9.7
5,PAU,840.095,840.286,0,0,MSM_Rate_05C,3.17396,0,0,0,0,0,9.7
5,PAU,960.11,960.301,0,0,MSM_Rate_05C,3.17396,0,0,0,0,0,9.7
5,PAU,1080.166,1080.357,0,0,MSM_Rate_05C,3.17396,0,0,0,0,0,9.7
5,PAU,1200.108,1200.299,0,0,MSM_Rate_05C,3.17407,0,0,0,0,0,9.7
5,PAU,1320.121,1320.312,0,0,MSM_Rate_05C,3.17407,0,0,0,0,0,9.7
5,PAU,1440.151,1440.342,0,0,MSM_Rate_05C,3.17407,0,0,0,0,0,9.7
5,PAU,1560.175,1560.366,0,0,MSM_Rate_05C,3.17407,0,0,0,0,0,9.7
5,PAU,1680.248,1680.439,0,0,MSM_Rate_05C,3.17418,0,0,0,0,0,9.7
5,PAU,1800.233,1800.424,0,0,MSM_Rate_05C,3.17418,0,0,0,0,0,9.7
5,PAU,1920.106,1920.297,0,0,MSM_Rate_05C,3.17418,0,0,0,0,0,9.7
5,PAU,2040.065,2040.256,0,0,MSM_Rate_05C,3.17418,0,0,0,0,0,9.7
5,PAU,2160.172,2160.363,0,0,MSM_Rate_05C,3.17418,0,0,0,0,0,9.7
5,PAU,2280.112,2280.303,0,0,MSM_Rate_05C,3.17418,0,0,0,0,0,9.7
5,PAU,2400.173,2400.364,0,0,MSM_Rate_05C,3.17429,0,0,0,0,0,9.7
5,PAU,2520.137,2520.328,0,0,MSM_Rate_05C,3.17429,0,0,0,0,0,9.7
5,PAU,2640.091,2640.282,0,0,MSM_Rate_05C,3.17429,0,0,0,0,0,9.7
5,PAU,2760.086,2760.277,0,0,MSM_Rate_05C,3.1744,0,0,0,0,0,9.7
5,PAU,2880.063,2880.254,0,0,MSM_Rate_05C,3.1744,0,0,0,0,0,9.7
5,PAU,3000.05,3000.241,0,0,MSM_Rate_05C,3.1744,0,0,0,0,0,9.7
5,PAU,3120.197,3120.388,0,0,MSM_Rate_05C,3.1744,0,0,0,0,0,9.7
5,PAU,3240.145,3240.336,0,0,MSM_Rate_05C,3.17451,0,0,0,0,0,9.7
5,PAU,3360.162,3360.353,0,0,MSM_Rate_05C,3.1744,0,0,0,0,0,9.7
5,PAU,3480.069,3480.26,0,0,MSM_Rate_05C,3.17451,0,0,0,0,0,9.7
5,PAU,3600.068,3600.259,0,0,MSM_Rate_05C,3.17451,0,0,0,0,0,9.7
5,PAU,3720.219,3720.41,0,0,MSM_Rate_05C,3.17451,0,0,0,0,0,9.7
5,PAU,3840.178,3840.369,0,0,MSM_Rate_05C,3.17451,0,0,0,0,0,9.7
5,PAU,3960.059,3960.25,0,0,MSM_Rate_05C,3.17462,0,0,0,0,0,9.7
5,PAU,4080.151,4080.342,0,0,MSM_Rate_05C,3.17462,0,0,0,0,0,9.7
5,PAU,4200.065,4200.256,0,0,MSM_Rate_05C,3.17462,0,0,0,0,0,9.7
5,PAU,4320.072,4320.263,0,0,MSM_Rate_05C,3.17462,0,0,0,0,0,9.7
5,PAU,4440.153,4440.344,0,0,MSM_Rate_05C,3.17473,0,0,0,0,0,9.7
5,PAU,4560.069,4560.26,0,0,MSM_Rate_05C,3.17473,0,0,0,0,0,9.7
5,PAU,4680.055,4680.246,0,0,MSM_Rate_05C,3.17473,0,0,0,0,0,9.7
5,PAU,4800.063,4800.254,0,0,MSM_Rate_05C,3.17473,0,0,0,0,0,9.7
5,PAU,4920.064,4920.255,0,0,MSM_Rate_05C,3.17473,0,0,0,0,0,9.7
5,PAU,5040.116,5040.307,0,0,MSM_Rate_05C,3.17485,0,0,0,0,0,9.7
5,PAU,5160.116,5160.307,0,0,MSM_Rate_05C,3.17485,0,0,0,0,0,9.7
5,PAU,5280.075,5280.266,0,0,MSM_Rate_05C,3.17485,0,0,0,0,0,9.7
5,PAU,5400.174,5400.365,0,0,MSM_Rate_05C,3.17485,0,0,0,0,0,9.7
5,PAU,5520.107,5520.298,0,0,MSM_Rate_05C,3.17496,0,0,0,0,0,9.7
5,PAU,5640.106,5640.297,0,0,MSM_Rate_05C,3.17485,0,0,0,0,0,9.7
5,PAU,5760.116,5760.307,0,0,MSM_Rate_05C,3.17496,0,0,0,0,0,9.7
5,PAU,5880.087,5880.278,0,0,MSM_Rate_05C,3.17496,0,0,0,0,0,9.7
5,PAU,6000.202,6000.393,0,0,MSM_Rate_05C,3.17507,0,0,0,0,0,9.7
5,PAU,6120.055,6120.246,0,0,MSM_Rate_05C,3.17507,0,0,0,0,0,9.7
5,PAU,6240.184,6240.375,0,0,MSM_Rate_05C,3.17507,0,0,0,0,0,9.7
5,PAU,6360.174,6360.365,0,0,MSM_Rate_05C,3.17507,0,0,0,0,0,9.7
5,PAU,6480.125,6480.316,0,0,MSM_Rate_05C,3.17507,0,0,0,0,0,9.7
5,PAU,6600.073,6600.264,0,0,MSM_Rate_05C,3.17518,0,0,0,0,0,9.7
5,PAU,6720.176,6720.367,0,0,MSM_Rate_05C,3.17518,0,0,0,0,0,9.7
5,PAU,6840.077,6840.268,0,0,MSM_Rate_05C,3.17518,0,0,0,0,0,9.7
5,PAU,6960.136,6960.327,0,0,MSM_Rate_05C,3.17518,0,0,0,0,0,9.7
5,PAU,7080.158,7080.349,0,0,MSM_Rate_05C,3.17518,0,0,0,0,0,9.7
5,PAU,7200.091,7200.282,0,0,MSM_Rate_05C,3.17529,0,0,0,0,0,9.7
5,PAU,7200.091,7200.282,0,0,MSM_Rate_05C,3.17529,0,0,0,0,0,9.7
8,RANGE,0,7200.385,1,1,MSM_Rate_05C,3.17529,0,0,0,0,0,9.7
8,RANGE,0,7200.385,1,1,MSM_Rate_05C,3.17529,0,0,0,0,0,9.7
9,CHA,0,7200.388,1,1,MSM_Rate_05C,3.2731,1.66345,0,0,0,0,9.7
9,CHA,0.131,7200.519,1,1,MSM_Rate_05C,3.28955,1.66561,0,0,0,5.47909,9.7
9,CHA,0.335,7200.723,1,1,MSM_Rate_05C,3.30366,1.6674,0.00012,0,0.0004,5.50853,9.7
9,CHA,0.592,7200.98,1,1,MSM_Rate_05C,3.31567,1.66884,0.00024,0,0.00078,5.53331,9.7
9,CHA,1.259,7201.647,1,1,MSM_Rate_05C,3.32578,1.66956,0.00053,0,0.00176,5.55257,9.7
9,CHA,3.882,7204.27,1,1,MSM_Rate_05C,3.33578,1.66956,0.00174,0,0.00578,5.56928,9.7
9,CHA,9.299,7209.687,1,1,MSM_Rate_05C,3.3459,1.66991,0.00431,0,0.01436,5.58736,9.7
9,CHA,16.352,7216.74,1,1,MSM_Rate_05C,3.35601,1.66956,0.0076,0,0.02542,5.60268,9.7
9,CHA,24.287,7224.675,1,1,MSM_Rate_05C,3.36601,1.66956,0.01126,0,0.03771,5.61975,9.7
9,CHA,33.205,7233.593,1,1,MSM_Rate_05C,3.37613,1.66991,0.01541,0,0.0517,5.63626,9.7
9,CHA,42.887,7243.275,1,1,MSM_Rate_05C,3.38613,1.66991,0.01991,0,0.06689,5.65436,9.7
9,CHA,53.598,7253.986,1,1,MSM_Rate_05C,3.39613,1.66956,0.02484,0,0.08362,5.67004,9.7
9,CHA,60.034,7260.422,1,1,MSM_Rate_05C,3.40191,1.66956,0.02785,0,0.09386,5.67968,9.7
9,CHA,65.121,7265.509,1,1,MSM_Rate_05C,3.40614,1.66991,0.0302,0,0.10186,5.68796,9.7
9,CHA,77.86,7278.248,1,1,MSM_Rate_05C,3.41614,1.66991,0.03609,0,0.12195,5.70325,9.8
9,CHA,91.7,7292.088,1,1,MSM_Rate_05C,3.42614,1.66991,0.04257,0,0.1441,5.72118,9.8
9,CHA,106.763,7307.151,1,1,MSM_Rate_05C,3.43615,1.66991,0.04955,0,0.16807,5.7377,9.8
9,CHA,120.051,7320.439,1,1,MSM_Rate_05C,3.44404,1.66956,0.05569,0,0.18921,5.74983,9.8
9,CHA,123.669,7324.057,1,1,MSM_Rate_05C,3.44615,1.66956,0.05735,0,0.19491,5.75335,9.8
9,CHA,142.387,7342.775,1,1,MSM_Rate_05C,3.45615,1.66956,0.06604,0,0.2249,5.77024,9.8
9,CHA,163.382,7363.77,1,1,MSM_Rate_05C,3.46616,1.66991,0.07581,0,0.25872,5.78675,9.9
9,CHA,180.051,7380.439,1,1,MSM_Rate_05C,3.47327,1.66991,0.08353,0,0.2855,5.79882,9.9
9,CHA,187.085,7387.473,1,1,MSM_Rate_05C,3.47616,1.66991,0.08676,0,0.29672,5.80489,9.9
9,CHA,215.53,7415.918,1,1,MSM_Rate_05C,3.48616,1.66991,0.09996,0,0.34269,5.82141,10
9,CHA,240.14,7440.528,1,1,MSM_Rate_05C,3.49339,1.66991,0.11131,0,0.3823,5.83366,10
9,CHA,251.019,7451.407,1,1,MSM_Rate_05C,3.49616,1.66991,0.11639,0,0.40004,5.8383,10
9,CHA,300.039,7500.427,1,1,MSM_Rate_05C,3.50606,1.66956,0.13916,0,0.47977,5.85356,10.1
9,CHA,300.578,7500.966,1,1,MSM_Rate_05C,3.50617,1.66956,0.13939,0,0.48056,5.85374,10.1
9,CHA,360.124,7560.512,1,1,MSM_Rate_05C,3.51284,1.66956,0.16697,0,0.57737,5.86488,10.3
9,CHA,406.978,7607.366,1,1,MSM_Rate_05C,3.51617,1.66991,0.18879,0,0.65407,5.87026,10.4
9,CHA,420.005,7620.393,1,1,MSM_Rate_05C,3.51684,1.66956,0.19478,0,0.67512,5.87282,10.5
9,CHA,480.008,7680.396,1,1,MSM_Rate_05C,3.51995,1.66991,0.22263,0,0.77312,5.87802,10.6
9,CHA,540,7740.388,1,1,MSM_Rate_05C,3.52317,1.66991,0.25047,0,0.87116,5.88321,10.8
9,CHA,594.652,7795.04,1,1,MSM_Rate_05C,3.52617,1.66956,0.2758,0,0.96046,5.88696,10.9
9,CHA,600.039,7800.427,1,1,MSM_Rate_05C,3.5264,1.66991,0.2783,0,0.96925,5.88878,10.9
9,CHA,660.047,7860.435,1,1,MSM_Rate_05C,3.52995,1.66991,0.30616,0,1.06756,5.89472,11
9,CHA,720.048,7920.436,1,1,MSM_Rate_05C,3.53373,1.66991,0.33396,0,1.16572,5.90103,11.1
9,CHA,758.696,7959.084,1,1,MSM_Rate_05C,3.53618,1.66991,0.35187,0,1.22903,5.90511,11.1
9,CHA,780.044,7980.432,1,1,MSM_Rate_05C,3.53751,1.66991,0.36173,0,1.26391,5.90734,11.1
9,CHA,840.05,8040.438,1,1,MSM_Rate_05C,3.54151,1.66956,0.38956,0,1.36242,5.91275,11.2
9,CHA,900.028,8100.416,1,1,MSM_Rate_05C,3.54574,1.66956,0.41747,0,1.46133,5.9198,11.2
9,CHA,905.023,8105.411,1,1,MSM_Rate_05C,3.54618,1.66956,0.41973,0,1.46933,5.92036,11.2
9,CHA,960.039,8160.427,1,1,MSM_Rate_05C,3.55018,1.66991,0.44531,0,1.56011,5.92831,11.3
9,CHA,1020.125,8220.513,1,1,MSM_Rate_05C,3.55452,1.66991,0.47311,0,1.65886,5.93574,11.3
