

Measurement ID,6316
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1259
Program,166 - MSM_Rate_05C
Start Time,8/20/2020 11:15:10 AM
End Time,8/21/2020 4:21:44 AM
Test section,TS006009
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
5,PAU,0.042,0.158,0,0,MSM_Rate_05C,4.14381,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,120.152,120.268,0,0,MSM_Rate_05C,4.14381,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,240.175,240.291,0,0,MSM_Rate_05C,4.14381,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,360.142,360.258,0,0,MSM_Rate_05C,4.14381,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,480.195,480.311,0,0,MSM_Rate_05C,4.14381,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,600.176,600.292,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,720.241,720.357,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,840.133,840.249,0,0,MSM_Rate_05C,4.14381,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,960.165,960.281,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,1080.144,1080.260,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,1200.231,1200.347,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,1320.241,1320.357,0,0,MSM_Rate_05C,4.14381,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,1440.163,1440.279,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,1560.154,1560.270,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,1680.210,1680.326,0,0,MSM_Rate_05C,4.14381,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,1800.110,1800.226,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,1920.183,1920.299,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,2040.264,2040.380,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,2160.130,2160.246,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,2280.108,2280.224,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,2400.181,2400.297,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,2520.310,2520.426,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,2640.174,2640.290,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,2760.204,2760.320,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,2880.128,2880.244,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3000.275,3000.391,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3120.213,3120.329,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3240.223,3240.339,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3360.107,3360.223,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3480.200,3480.316,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3600.149,3600.265,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3720.201,3720.317,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3840.224,3840.340,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,3960.125,3960.241,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,4080.151,4080.267,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,4200.216,4200.332,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,4320.173,4320.289,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,4440.203,4440.319,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,4560.171,4560.287,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,4680.199,4680.315,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,4800.253,4800.369,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,4920.104,4920.220,0,0,MSM_Rate_05C,4.14404,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,5040.196,5040.312,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,5160.189,5160.305,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,5280.213,5280.329,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,5400.295,5400.411,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,5520.304,5520.420,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,5640.214,5640.330,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,5760.179,5760.295,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,5880.274,5880.390,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6000.226,6000.342,0,0,MSM_Rate_05C,4.14404,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6120.152,6120.268,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6240.136,6240.252,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6360.139,6360.255,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6480.173,6480.289,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6600.194,6600.310,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6720.131,6720.247,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6840.196,6840.312,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,6960.134,6960.250,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,7080.179,7080.295,0,0,MSM_Rate_05C,4.14404,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,7200.156,7200.272,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
5,PAU,7200.156,7200.272,0,0,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
8,RANGE,0.000,7200.368,1,1,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
8,RANGE,0.000,7200.368,1,1,MSM_Rate_05C,4.14393,0.00000,0.00000,0.00000,0.00000,0.00000,24.60000,
9,CHA,0.000,7200.368,1,1,MSM_Rate_05C,4.19610,1.66747,0.00000,0.00000,0.00000,0.00000,24.60000,
9,CHA,60.046,7260.414,1,1,MSM_Rate_05C,4.19989,0.97116,0.02034,0.00000,0.08541,4.07877,24.70000,
9,CHA,120.066,7320.434,1,1,MSM_Rate_05C,4.20000,0.73954,0.03440,0.00000,0.14450,3.10606,24.70000,
9,CHA,180.072,7380.440,1,1,MSM_Rate_05C,4.19989,0.59401,0.04545,0.00000,0.19091,2.49634,24.70000,
9,CHA,240.110,7440.478,1,1,MSM_Rate_05C,4.20000,0.48882,0.05442,0.00000,0.22858,2.05305,24.80000,
9,CHA,300.083,7500.451,1,1,MSM_Rate_05C,4.19989,0.40705,0.06188,0.00000,0.25990,1.70962,24.80000,
9,CHA,360.022,7560.390,1,1,MSM_Rate_05C,4.20000,0.34329,0.06809,0.00000,0.28598,1.44183,24.80000,
9,CHA,420.021,7620.389,1,1,MSM_Rate_05C,4.19989,0.29142,0.07337,0.00000,0.30814,1.22393,24.80000,
9,CHA,480.060,7680.428,1,1,MSM_Rate_05C,4.20000,0.24927,0.07787,0.00000,0.32703,1.04695,24.80000,
9,CHA,480.546,7680.914,1,1,MSM_Rate_05C,4.20000,0.24891,0.07790,0.00000,0.32719,1.04544,24.80000,
10,PAU,0.000,7680.945,1,1,MSM_Rate_05C,4.20000,0.00000,0.07791,0.07790,0.32722,0.00000,24.80000,
10,PAU,60.028,7740.973,1,1,MSM_Rate_05C,4.18687,0.00000,0.07791,0.07790,0.32722,0.00000,24.80000,
10,PAU,120.007,7800.952,1,1,MSM_Rate_05C,4.18520,0.00000,0.07791,0.07790,0.32722,0.00000,24.80000,
10,PAU,180.049,7860.994,1,1,MSM_Rate_05C,4.18420,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,239.994,7920.939,1,1,MSM_Rate_05C,4.18353,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,300.010,7980.955,1,1,MSM_Rate_05C,4.18298,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,360.029,8040.974,1,1,MSM_Rate_05C,4.18253,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,420.014,8100.959,1,1,MSM_Rate_05C,4.18220,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,480.057,8161.002,1,1,MSM_Rate_05C,4.18198,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,540.010,8220.955,1,1,MSM_Rate_05C,4.18175,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,600.006,8280.951,1,1,MSM_Rate_05C,4.18153,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,660.015,8340.960,1,1,MSM_Rate_05C,4.18131,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,720.013,8400.958,1,1,MSM_Rate_05C,4.18109,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,780.048,8460.993,1,1,MSM_Rate_05C,4.18097,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,840.032,8520.977,1,1,MSM_Rate_05C,4.18097,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,900.086,8581.031,1,1,MSM_Rate_05C,4.18075,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,959.999,8640.944,1,1,MSM_Rate_05C,4.18075,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,1020.064,8701.009,1,1,MSM_Rate_05C,4.18064,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,1079.997,8760.942,1,1,MSM_Rate_05C,4.18053,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,1140.052,8820.997,1,1,MSM_Rate_05C,4.18042,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,1200.041,8880.986,1,1,MSM_Rate_05C,4.18042,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,1260.006,8940.951,1,1,MSM_Rate_05C,4.18031,0.00000,0.07791,0.07790,0.32722,0.00000,24.70000,
10,PAU,1320.006,9000.951,1,1,MSM_Rate_05C,4.18031,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1380.039,9060.984,1,1,MSM_Rate_05C,4.18031,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1440.030,9120.975,1,1,MSM_Rate_05C,4.18020,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1500.074,9181.019,1,1,MSM_Rate_05C,4.18008,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1560.058,9241.003,1,1,MSM_Rate_05C,4.18008,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1620.007,9300.952,1,1,MSM_Rate_05C,4.18008,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1680.064,9361.009,1,1,MSM_Rate_05C,4.17997,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1740.037,9420.982,1,1,MSM_Rate_05C,4.17997,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1800.003,9480.948,1,1,MSM_Rate_05C,4.17997,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1860.040,9540.985,1,1,MSM_Rate_05C,4.17986,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
10,PAU,1920.018,9600.963,1,1,MSM_Rate_05C,4.17986,0.00000,0.07791,0.07790,0.32722,0.00000,24.60000,
