Time [s],Voltage [V],X-averaged cell temperature [K]
0,4.1737,24.8
1.002,4.1737,24.8
1.994,4.1737,24.8
2.998,4.1737,24.8
4.001,4.1737,24.8
5.008,4.1737,24.8
5.998,4.1737,24.8
7.013,4.1736,24.8
8.002,4.1736,24.8
8.994,4.1736,24.8
10.024,4.1737,24.8
10.997,4.1736,24.8
12.008,4.1737,24.8
13.082,4.1736,24.8
14,4.1737,24.8
15.007,4.1736,24.8
15.007,4.1736,24.8
15.007,4.1736,24.8
15.024,4.1325,24.8
15.024,4.1325,24.8
16.032,4.0828,24.8
17.139,4.0773,24.8
18.023,4.0732,24.8
19.042,4.0694,24.8
20.024,4.0664,24.8
21.049,4.0635,24.8
22.026,4.0609,24.8
23.033,4.0586,24.8
24.036,4.0564,24.8
25.044,4.0543,24.8
26.022,4.0523,24.8
27.027,4.0503,24.8
28.032,4.0486,24.8
29.039,4.0468,24.8
30.043,4.0451,24.8
31.047,4.0436,24.8
32.027,4.042,24.8
33.031,4.0405,24.8
34.034,4.0391,24.8
35.044,4.0376,24.8
36.046,4.0362,24.8
37.023,4.0351,24.8
38.027,4.0337,24.8
39.032,4.0325,24.8
40.014,4.0313,24.8
41.046,4.03,24.8
42.021,4.0289,24.8
43.143,4.0277,24.8
44.034,4.0266,24.8
45.038,4.0256,24.8
46.021,4.0245,24.8
47.05,4.0234,24.8
48.025,4.0224,24.8
49.034,4.0214,24.8
50.04,4.0206,24.8
51.042,4.0196,24.8
52.021,4.0187,24.8
53.024,4.0178,24.8
54.028,4.0169,24.8
55.038,4.0159,24.8
56.044,4.0152,24.8
57.047,4.0142,24.8
58.028,4.0136,24.8
59.031,4.0127,24.8
60.029,4.0119,24.8
61.045,4.0111,24.8
62.05,4.0103,24.8
63.073,4.0097,24.8
64.032,4.0088,24.8
65.039,4.0081,24.8
66.12,4.0074,24.8
67.022,4.0065,24.9
68.027,4.0059,24.9
69.103,4.0052,24.9
70.04,4.0045,24.9
71.045,4.0039,24.9
72.026,4.0032,24.9
73.027,4.0027,24.9
74.032,4.002,24.9
75.038,4.0013,24.9
76.043,4.0007,24.9
77.049,4.0001,24.9
78.027,3.9995,24.9
79.033,3.9989,24.9
80.04,3.9983,24.9
81.047,3.9976,24.9
82.024,3.9972,24.9
83.026,3.9966,24.9
84.034,3.9961,24.9
85.038,3.9954,24.9
86.04,3.9949,24.9
87.049,3.9944,24.9
88.026,3.9939,24.9
89.055,3.9934,24.9
90.039,3.9928,24.9
91.045,3.9923,24.9
92.099,3.9919,24.9
93.028,3.9913,24.9
94.036,3.9909,24.9
95.145,3.9903,24.9
96.046,3.9898,24.9
97.023,3.9893,24.9
98.125,3.9889,24.9
99.033,3.9883,24.9
100.04,3.9879,24.9
101.048,3.9874,24.9
102.02,3.9869,24.9
103.026,3.9865,24.9
104.031,3.9861,24.9
105.039,3.9857,24.9
106.046,3.9853,24.9
107.022,3.9847,24.9
108.028,3.9844,24.9
109.032,3.984,24.9
110.041,3.9835,24.9
111.044,3.9831,24.9
112.045,3.9827,24.9
113.027,3.9823,24.9
114.032,3.9819,24.9
115.019,3.9815,24.9
116.043,3.9811,24.9
117.021,3.9807,24.9
118.122,3.9803,25
119.032,3.98,25
120.039,3.9796,25
121.048,3.9792,25
122.024,3.9789,25
123.026,3.9784,25
124.032,3.9781,25
125.037,3.9777,25
126.04,3.9773,25
127.046,3.977,25
128.024,3.9766,25
129.025,3.9763,25
130.034,3.976,25
131.039,3.9756,25
132.068,3.9753,25
133.048,3.9748,25
134.025,3.9745,25
135.09,3.9743,25
136.036,3.9738,25
137.041,3.9736,25
138.024,3.9733,25
139.021,3.973,25
140.028,3.9725,25
141.04,3.9723,25
142.039,3.9721,25
143.043,3.9717,25
144.051,3.9714,25
145.024,3.9711,25
146.03,3.9708,25
147.038,3.9704,25
148.042,3.9701,25
149.048,3.97,25
150.027,3.9695,25
151.032,3.9693,25
152.034,3.969,25
153.043,3.9687,25
154.047,3.9684,25
155.048,3.9681,25
156.029,3.9678,25
157.033,3.9676,25
158.059,3.9673,25
159.044,3.9671,25
160.022,3.9667,25
161.105,3.9665,25
162.032,3.9662,25
163.035,3.966,25
164.075,3.9657,25
165.048,3.9654,25
166.024,3.9652,25
167.054,3.9648,25
168.038,3.9646,25
169.043,3.9644,25
170.023,3.9642,25
171.029,3.9638,25
172.033,3.9636,25
173.04,3.9634,25
174.045,3.9631,25
175.049,3.9628,25
176.028,3.9626,25
177.032,3.9624,25
178.032,3.9621,25
179.041,3.9619,25
180.048,3.9617,25
181.044,3.9614,25
182.03,3.9612,25
183.037,3.9609,25
184.07,3.9607,25
185.046,3.9604,25
186.024,3.9603,25
187.006,3.9601,25
188.033,3.9598,25
189.039,3.9595,25
190.117,3.9593,25
191.021,3.9591,25
192.028,3.9589,25
193.034,3.9587,25
194.039,3.9585,25
195.044,3.9583,25
196.022,3.9581,25
197.026,3.9577,25
198.03,3.9576,25
199.037,3.9574,25
200.041,3.9572,25
201.043,3.9569,25
202.023,3.9567,25
203.028,3.9565,25
204.082,3.9563,25
205.039,3.9562,25
206.044,3.9559,25
207.004,3.9556,25
208.024,3.9555,25
209.03,3.9553,25
210.097,3.9551,25
211.043,3.9548,25
212.048,3.9547,25
213.024,3.9544,25
214.029,3.9543,25
215.034,3.9539,25
216.039,3.9538,25
217.044,3.9536,25
218.047,3.9535,25
219.024,3.9533,25
220.032,3.9531,25
221.028,3.9528,25
222.043,3.9526,25
223.049,3.9525,25
224.132,3.9523,25
225.031,3.9521,25
226.037,3.9518,25
227.025,3.9517,25
228.047,3.9515,25
229.022,3.9513,25
230.029,3.9511,25
231.033,3.9509,25
232.038,3.9507,25
233.045,3.9506,25
234.021,3.9504,25
235.025,3.9502,25
236.033,3.9499,25
237.038,3.9498,25
238.041,3.9497,25
239.049,3.9495,25
240.026,3.9493,25
241.028,3.9492,25
242.038,3.9489,25
243.043,3.9487,25
244.045,3.9486,25
245.025,3.9484,25
246.031,3.9482,25
247.037,3.948,25
248.043,3.9478,25
249.021,3.9476,25
250.089,3.9475,25
251.035,3.9473,25
252.04,3.947,25
253.076,3.9469,25
254.024,3.9467,25
255.03,3.9466,25
256.027,3.9465,25
257.042,3.9463,25
258.048,3.946,25
259.139,3.9458,25
260.034,3.9457,25
261.039,3.9455,25
262.111,3.9453,25
263.022,3.9452,25
264.027,3.945,25
265.037,3.9448,25
266.04,3.9446,25
267.044,3.9445,25
268.024,3.9443,25
269.027,3.944,25
270.034,3.9439,25
271.043,3.9438,25
272.047,3.9436,25
273.023,3.9434,25
274.031,3.9433,25
275.035,3.943,25
276.04,3.9429,25
277.047,3.9427,25
278.024,3.9426,25
279.027,3.9424,25
280.038,3.9423,25
281.041,3.942,25
282.046,3.9418,25
283.025,3.9417,25
284.03,3.9415,25
285.033,3.9414,25
286.042,3.9412,25
287.046,3.941,25
288.02,3.9408,25
289.03,3.9407,25
290.035,3.9405,25
291.035,3.9404,25
292.047,3.9403,25
293.022,3.9399,25
294.052,3.9398,25
295.036,3.9396,25
296.04,3.9395,25
297.062,3.9393,25
298.025,3.939,25
299.027,3.9389,25
300.144,3.9388,25
301.043,3.9387,25
302.046,3.9385,25
303.03,3.9383,25
304.032,3.9381,25
305.034,3.9379,25
306.042,3.9378,25
307.048,3.9376,25
308.024,3.9375,25
309.03,3.9373,25
310.039,3.9371,25
311.043,3.9369,25
312.021,3.9368,25
313.029,3.9366,25
314.033,3.9365,25
315.039,3.9363,25
316.045,3.9361,25
317.048,3.9359,25
318.026,3.9358,25
319.03,3.9356,25
320.035,3.9355,25
321.043,3.9353,25
322.021,3.935,25
323.024,3.9349,25
324.033,3.9347,25
325.037,3.9346,25
326.04,3.9345,25
327.05,3.9343,25
328.025,3.9341,25
329.028,3.9339,25
330.04,3.9338,25
331.043,3.9337,25
332.046,3.9335,25
333.027,3.9334,25
334.033,3.9331,25.1
335.062,3.9329,25.1
336.045,3.9328,25.1
337.021,3.9326,25.1
338.076,3.9324,25.1
339.033,3.9324,25.1
340.04,3.9321,25.1
341.139,3.932,25.1
342.022,3.9317,25.1
343.026,3.9317,25.1
344.038,3.9315,25.1
345.037,3.9314,25.1
346.042,3.9311,25.1
347.051,3.9309,25.1
348.026,3.9308,25.1
349.031,3.9306,25.1
350.039,3.9305,25.1
351.045,3.9304,25.1
352.049,3.9301,25.1
353.027,3.9299,25.1
354.033,3.9298,25.1
355.036,3.9297,25.1
356.043,3.9295,25.1
357.049,3.9294,25.1
358.023,3.9291,25.1
359.033,3.929,25.1
360.04,3.9288,25.1
361.042,3.9286,25.1
362.023,3.9285,25.1
363.029,3.9283,25.1
364.048,3.9281,25.1
365.04,3.9279,25.1
366.046,3.9278,25.1
367.034,3.9276,25.1
368.03,3.9275,25.1
369.035,3.9274,25.1
370.108,3.9271,25.1
371.048,3.927,25.1
372.026,3.9268,25.1
373.033,3.9266,25.1
374.036,3.9265,25.1
375.042,3.9263,25.1
376.046,3.9261,25.1
377.024,3.926,25.1
378.029,3.9258,25.1
379.034,3.9257,25.1
380.043,3.9255,25.1
381.045,3.9254,25.1
382.023,3.9251,25.1
383.03,3.925,25.1
384.054,3.9247,25.1
385.041,3.9246,25.1
386.048,3.9245,25.1
387.076,3.9244,25.1
388.029,3.9241,25.1
389.035,3.924,25.1
390.078,3.9238,25.1
391.047,3.9236,25.1
392.025,3.9235,25.1
393.032,3.9232,25.1
394.036,3.9231,25.1
395.04,3.923,25.1
396.047,3.9228,25.1
397.021,3.9226,25.1
398.025,3.9225,25.1
399.033,3.9224,25.1
400.039,3.9221,25.1
401.043,3.922,25.1
402.022,3.9219,25.1
403.026,3.9217,25.1
404.028,3.9216,25.1
405.036,3.9214,25.1
406.042,3.9211,25.1
407.072,3.921,25.1
408.024,3.9209,25.1
409.03,3.9207,25.1
410.044,3.9206,25.1
411.041,3.9204,25.1
412.047,3.9201,25.1
413.032,3.92,25.1
414.028,3.9199,25.1
415.033,3.9197,25.1
416.028,3.9196,25.1
417.045,3.9194,25.1
418.022,3.9191,25.1
419.03,3.919,25.1
420.034,3.9188,25.1
421.041,3.9187,25.1
422.048,3.9186,25.1
423.051,3.9184,25.1
424.025,3.9181,25.1
425.036,3.918,25.1
426.041,3.9179,25.1
427.042,3.9178,25.1
428.023,3.9176,25.1
429.027,3.9174,25.1
430.028,3.9172,25.1
431.042,3.917,25.1
432.048,3.9169,25.1
433.074,3.9167,25.1
434.032,3.9166,25.1
435.037,3.9164,25.1
436.094,3.9162,25.1
437.048,3.916,25.1
438.023,3.9158,25.1
439.128,3.9157,25.1
440.037,3.9156,25.1
441.041,3.9152,25.1
442.021,3.9151,25.1
443.025,3.915,25.1
444.029,3.9148,25.1
445.037,3.9147,25.1
446.043,3.9145,25.1
447.049,3.9144,25.1
448.027,3.9141,25.1
449.033,3.914,25.1
450.039,3.9138,25.1
451.047,3.9137,25.1
452.026,3.9135,25.1
453.029,3.9133,25.1
454.039,3.9131,25.1
455.046,3.913,25.1
456.071,3.9128,25.1
457.028,3.9127,25.1
458.035,3.9125,25.1
459.052,3.9123,25.1
460.048,3.9121,25.1
461.026,3.912,25.1
462.039,3.9118,25.1
463.036,3.9117,25.1
464.043,3.9115,25.1
465.06,3.9113,25.1
466.025,3.9111,25.1
467.031,3.911,25.1
468.036,3.9106,25.1
469.041,3.9106,25.1
470.049,3.9105,25.1
471.025,3.9102,25.1
472.032,3.9101,25.1
473.036,3.9099,25.1
474.043,3.9098,25.1
475.047,3.9096,25.1
476.05,3.9095,25.1
477.03,3.9092,25.1
478.035,3.9091,25.1
479.075,3.909,25.1
480.049,3.9088,25.1
481.025,3.9086,25.1
482.1,3.9083,25.1
483.037,3.9082,25.1
484.041,3.908,25.1
485.049,3.9079,25.1
486.024,3.9077,25.1
487.027,3.9075,25.1
488.034,3.9073,25.1
489.04,3.9071,25.1
490.046,3.907,25.1
491.023,3.9068,25.1
492.03,3.9067,25.1
493.034,3.9065,25.1
494.042,3.9062,25.1
495.022,3.9061,25.1
496.05,3.906,25.1
497.03,3.9058,25.1
498.04,3.9056,25.1
499.096,3.9052,25.1
500.022,3.9052,25.1
501.031,3.905,25.1
502.041,3.9049,25.1
503.041,3.9047,25.1
504.049,3.9046,25.1
505.027,3.9043,25.1
506.032,3.9041,25.1
507.038,3.9038,25.1
508.045,3.9038,25.1
509.048,3.9035,25.1
510.026,3.9033,25.1
511.033,3.9032,25.1
512.036,3.903,25.1
513.04,3.9028,25.1
514.047,3.9027,25.1
515.023,3.9025,25.1
516.026,3.9023,25.1
517.035,3.9021,25.1
518.039,3.9019,25.1
519.042,3.9018,25.1
520.025,3.9016,25.1
521.032,3.9013,25.1
522.073,3.9011,25.1
523.045,3.9009,25.1
524.049,3.9008,25.1
525.013,3.9006,25.1
526.033,3.9003,25.1
527.037,3.9002,25.1
528.025,3.9,25.1
529.022,3.8998,25.1
530.027,3.8996,25.1
531.036,3.8994,25.1
532.04,3.8992,25.1
533.044,3.899,25.1
534.024,3.8988,25.1
535.028,3.8987,25.1
536.032,3.8984,25.1
537.04,3.8982,25.1
538.045,3.898,25.1
539.046,3.8978,25.1
540.029,3.8977,25.1
541.034,3.8974,25.1
542.035,3.8972,25.1
543.046,3.897,25.1
544.023,3.8968,25.1
545.048,3.8967,25.1
546.032,3.8964,25.1
547.037,3.8962,25.1
548.09,3.8961,25.1
549.047,3.8958,25.1
550.026,3.8956,25.1
551.111,3.8954,25.1
552.038,3.8952,25.1
553.042,3.895,25.1
554.113,3.8948,25.1
555.023,3.8946,25.1
556.028,3.8943,25.1
557.063,3.8941,25.1
558.041,3.894,25.1
559.045,3.8938,25.1
560.024,3.8936,25.1
561.03,3.8933,25.1
562.034,3.8931,25.1
563.041,3.8929,25.1
564.047,3.8927,25.1
565.021,3.8924,25.1
566.029,3.8922,25.1
567.034,3.892,25.1
568.038,3.8918,25.1
569.044,3.8916,25.1
570.049,3.8913,25.1
571.023,3.8911,25.1
572.032,3.8909,25.1
573.039,3.8907,25.1
574.039,3.8904,25.1
575.047,3.8902,25.1
576.024,3.8899,25.1
577.023,3.8898,25.1
578.033,3.8895,25.1
579.039,3.8893,25.1
580.067,3.8891,25.1
581.022,3.8889,25.1
582.028,3.8885,25.1
583.083,3.8884,25.1
584.037,3.8881,25.1
585.044,3.8879,25.1
586.097,3.8877,25.1
587.024,3.8873,25.1
588.03,3.8872,25.1
589.074,3.8869,25.1
590.042,3.8867,25.1
591.048,3.8864,25.1
592.04,3.8862,25.1
593.028,3.8859,25.1
594.036,3.8858,25.1
595.136,3.8855,25.1
596.046,3.8853,25.1
597.026,3.885,25.1
598.067,3.8848,25.1
599.035,3.8845,25.1
600.041,3.8842,25.1
601.048,3.884,25.1
602.023,3.8838,25.1
603.032,3.8835,25.1
604.037,3.8832,25.1
605.041,3.883,25.1
606.046,3.8828,25.1
607.023,3.8825,25.1
608.028,3.8822,25.1
609.033,3.882,25.1
610.041,3.8818,25.1
611.045,3.8813,25.1
