Capacity [A.h],Voltage [V]
4.91244057475515,4.2803617
4.8936143999642,4.2690525
4.87478825031898,4.2599978
4.85596203511644,4.2515545
4.83713587955915,4.2434163
4.81830972326781,4.2362719
4.79948353058275,4.2303119
4.78065732171965,4.2241225
4.76183112392703,4.2186971
4.74300500653332,4.2143798
4.72417878588073,4.2102537
4.70535268736824,4.2065091
4.68652647528038,4.2031088
4.66770036394222,4.1998615
4.64887423546846,4.1971679
4.63004816050294,4.1946464
4.61122206620354,4.1923347
4.59239588852838,4.1894884
4.57356970397148,4.1881514
4.55474345438311,4.1863365
4.53591716410819,4.1841207
4.51709091780583,4.1833372
4.49826471582032,4.1818089
4.47943846735653,4.180491
4.4606122014071,4.1784849
4.44178590064786,4.177702
4.42295968009534,4.1766129
4.40413339855078,4.1744733
4.38530711916241,4.1736903
4.36648083656943,4.1726584
4.34765456073606,4.1715126
4.32882832000991,4.1699653
4.3100020096284,4.1682839
4.29117563124993,4.1659727
4.27234928296477,4.164196
4.25352294974853,4.1617508
4.23469670369449,4.1591144
4.21587043323643,4.1561728
4.19704413744189,4.1537466
4.17821778373594,4.1502509
4.15939145272628,4.1466784
4.14056514490208,4.1431446
4.12173883377492,4.1398778
4.10291248688276,4.1357517
4.08408622467083,4.1318355
4.06525987381885,4.1272697
4.04643353364768,4.1236591
4.02760725326517,4.1192465
4.008780999212,4.1141458
3.98995468148366,4.1105928
3.97112834980293,4.1061802
3.95230212204472,4.1019201
3.93347578530909,4.0977554
3.91464951240408,4.0927887
3.89582326841642,4.0886054
3.87699700695299,4.0842304
3.85817065703115,4.0799513
3.83934436122887,4.0762262
3.82051804136409,4.0720048
3.80169170238996,4.0675535
3.78286535564821,4.063179
3.76403896220134,4.0595303
3.74521257928787,4.0558624
3.72638625654659,4.0511441
3.70755990895357,4.0478392
3.68873355633411,4.044095
3.66990724763262,4.0404081
3.65108087740658,4.036129
3.63225453924793,4.0332255
3.61342821785121,4.030035
3.59460183234217,4.0264058
3.57577555508186,4.0229859
3.55694920227911,4.0199871
3.53812289410044,4.0165677
3.51929663238504,4.0137019
3.5004703330877,4.0103016
3.48164402232456,4.0067105
3.4628177760316,4.0033865
3.44399145598418,4.0012469
3.42516518291219,3.998152
3.40633889812536,3.9954967
3.3875125372251,3.9919436
3.36868629325713,3.989269
3.34986000166328,3.9861171
3.33103373733026,3.9829268
3.31220745591991,3.9792974
3.29338117067456,3.9764509
3.27455489509574,3.9735856
3.25572861997913,3.9696503
3.23690237625434,3.9672623
3.21807608955573,3.9638429
3.19924982899626,3.9601943
3.18042357497758,3.9570422
3.16159733157415,3.9534509
3.14277117082528,3.9504325
3.12394497492316,3.947166
3.10511870254567,3.9438038
3.08629250391891,3.9400022
3.06746631260093,3.9366593
3.04864004085536,3.9332397
3.02981381050097,3.9290946
3.01098762645691,3.9248726
2.99216143409396,3.9220073
2.97333524953786,3.9184158
2.95450908581326,3.9146907
2.93568287336244,3.9107554
2.91685679358842,3.9070303
2.89803061737861,3.9030569
2.87920441919403,3.8991599
2.8603783289168,3.8958361
2.84155216302224,3.8918436
2.82272588967352,3.8877935
2.80389947933751,3.8839538
2.78507308681872,3.8804772
2.76624668328036,3.8766565
2.74742028407283,3.8727596
2.72859394517424,3.8684995
2.70976769256615,3.8653476
2.69094134062422,3.8616414
2.67211503333536,3.8571522
2.6532886860811,3.8541341
2.63446243883722,3.849664
2.61563609425787,3.8459387
2.59680976237129,3.8429968
2.57798343488625,3.8388898
2.55915713802753,3.8353558
2.54033082686581,3.831707
2.52150449710644,3.8291664
2.50267817028478,3.8258615
2.48385185531954,3.8225949
2.46502551973953,3.8197103
2.44619923136531,3.8165393
2.42737297354677,3.8128715
2.40854662354913,3.8101206
2.3897202858593,3.8066821
2.37089394479984,3.8049054
2.35206766738797,3.8020399
2.33324141683366,3.7997284
2.3144151649548,3.7965956
2.29558890016746,3.7941313
2.27676257892321,3.7919726
2.25793639607955,3.7899096
2.23911017555733,3.7869675
2.22028391941016,3.7848663
2.20145761625302,3.7823446
2.18263138444102,3.7803771
2.16380510641539,3.7781038
2.14497888983897,3.7758496
2.12615270790511,3.7738819
2.10732652672971,3.7717426
2.08850028642774,3.7696221
2.06967400914054,3.7668712
2.05084778912684,3.765553
2.03202163605889,3.7631462
2.01319543064873,3.7618279
1.99436922069319,3.759784
1.97554303083018,3.7583129
1.95671680230977,3.7561543
1.93789056903916,3.7541103
1.91906433547688,3.7522764
1.90023815201034,3.7508056
1.8814120029096,3.7486277
1.86258573852821,3.7466218
1.84375954006625,3.7445588
1.8249333661754,3.7428014
1.80610713710714,3.7410057
1.7872809445368,3.7391908
1.76845476271331,3.7374525
1.74962858864999,3.7356567
1.73080240655104,3.7335746
1.71197619403842,3.7319889
1.69314998107524,3.7300978
1.67432368368665,3.7283595
1.65549744792021,3.726449
1.63667122387784,3.7244432
1.61784493779964,3.7220173
1.59901863018077,3.719954
1.58019235129811,3.7187123
1.56136607481953,3.7163246
1.54253986495005,3.7152164
1.52371361691564,3.7132299
1.50488739855023,3.7110903
1.486061150158,3.7094855
1.46723491776999,3.70769
1.44840868159336,3.7056842
1.42958247252415,3.7037737
1.41075623372412,3.7016726
1.3919301310255,3.6998003
1.37310394923237,3.6980429
1.35427779229144,3.6957314
1.3354515627888,3.6938593
1.31662540441034,3.6921401
1.29779922097007,3.6900768
1.27897304712288,3.6880329
1.26014692202325,3.6865809
1.24132077677065,3.6842122
1.22249458621069,3.6820154
1.20366843733732,3.6798568
1.18484233560155,3.6780038
1.16601629564742,3.6753485
1.14719017041243,3.6729414
1.12836409150615,3.6707828
1.10953791829375,3.668777
1.09071176664763,3.6665037
1.07188564962135,3.6646698
1.05305954294997,3.6623201
1.03423330318226,3.6601996
1.0154070917703,3.6580985
0.996580984763824,3.6555958
0.977754931855765,3.6525967
0.958928812256828,3.6501324
0.940102735626419,3.647649
0.921276598002343,3.6458533
0.902450460050963,3.6432171
0.883624327495148,3.6409819
0.864798289467673,3.6382885
0.845972181409379,3.6359005
0.827146022032894,3.6338375
0.80831994222188,3.6316407
0.789493872276986,3.6286223
0.770667840481522,3.6259861
0.751841791472952,3.6230252
0.733015717658653,3.6210194
0.714189596306082,3.6191664
0.695363589848736,3.6164918
0.676537523378986,3.614295
0.657711393237475,3.6121554
0.638885283125505,3.6095765
0.620059204861712,3.607265
0.60123307516711,3.6050301
