Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
0.0,3.959,5.00022888,0.1871,3.7639
1.0,3.9536,4.99961853,0.1855,3.7578
2.0,3.9498,4.99961853,0.1842,3.7554
3.0,3.9469,5.00038147,0.1836,3.753
4.0,3.9445,4.99946594,0.1828,3.7513
5.0,3.942,4.99992371,0.1823,3.7497
6.0,3.9399,5.00007629,0.1817,3.7483
7.0,3.9384,4.99946594,0.1813,3.7467
8.0,3.9365,5.00022888,0.1809,3.7457
9.0,3.935,5.00022888,0.1802,3.7445
10.0,3.9336,5.00022888,0.1797,3.7433
11.0,3.9319,5.00053406,0.1793,3.7421
12.0,3.9307,5.00038147,0.1789,3.7413
13.0,3.9292,4.99977112,0.1785,3.7405
14.0,3.9283,5.00007629,0.1782,3.7397
15.0,3.9271,5.00007629,0.1778,3.7387
16.0,3.926,4.99961853,0.1777,3.7383
17.0,3.9249,4.99931335,0.1772,3.7376
18.0,3.924,4.99992371,0.1769,3.7367
19.0,3.9229,5.00007629,0.1766,3.7359
20.0,3.922,4.99992371,0.1762,3.7356
21.0,3.9211,5.00053406,0.1759,3.7349
22.0,3.9203,5.00068665,0.1756,3.7344
23.0,3.9194,4.99977112,0.1753,3.7336
24.0,3.9188,4.99992371,0.1751,3.7333
25.0,3.9176,5.00053406,0.1747,3.7325
26.0,3.9171,4.99961853,0.1745,3.7319
27.0,3.9162,5.00007629,0.1742,3.7314
28.0,3.9156,5.00038147,0.174,3.7311
29.0,3.9149,5.00068665,0.1739,3.7306
30.0,3.9142,4.99961853,0.1737,3.73
31.0,3.9136,4.99961853,0.1734,3.7295
32.0,3.913,5.00038147,0.1729,3.7292
33.0,3.9121,4.99977112,0.1727,3.7289
34.0,3.9117,5.00038147,0.1729,3.7284
35.0,3.9109,5.00053406,0.1726,3.7279
36.0,3.9104,4.99977112,0.1723,3.7276
37.0,3.91,4.99992371,0.1721,3.727
38.0,3.9092,5.00038147,0.1719,3.7268
39.0,3.9088,4.99992371,0.1716,3.7263
40.0,3.9081,4.99916077,0.1715,3.7263
41.0,3.9077,5.00022888,0.1715,3.7257
42.0,3.9071,4.99992371,0.1712,3.7254
43.0,3.9065,4.99992371,0.171,3.7252
44.0,3.9059,5.00022888,0.171,3.7246
45.0,3.9055,5.00038147,0.1707,3.7243
46.0,3.9049,4.99946594,0.1705,3.7239
47.0,3.9045,4.99961853,0.1704,3.7238
48.0,3.9042,5.00038147,0.1702,3.7235
49.0,3.9036,5.00038147,0.17,3.7231
50.0,3.9031,5.00068665,0.1699,3.723
51.0,3.9026,4.99977112,0.1694,3.7225
52.0,3.9022,5.00053406,0.1696,3.7224
53.0,3.9019,5.00099182,0.1691,3.7219
54.0,3.9014,4.99961853,0.1692,3.7214
55.0,3.901,4.99992371,0.1692,3.7212
56.0,3.9005,4.99946594,0.1688,3.7211
57.0,3.8997,5.00038147,0.1686,3.7209
58.0,3.8996,4.99961853,0.1684,3.7206
